id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1598317624672374788,1598317624672374788,2022-12-01 21:06:31 SE Asia Standard Time,2022-12-01,21:06:31,+0700,1431571073795956744,senyummajaa,Senyum🌛,,Nahh itu ndin yuk bisa yuk ndin :)  #IkatanCintaEp971,in,[],[],[],0,0,0,['ikatancintaep971'],[],https://twitter.com/senyummajaa/status/1598317624672374788,False,,0,,,,,,,,[],,,,
1598317619232342018,1598317619232342018,2022-12-01 21:06:30 SE Asia Standard Time,2022-12-01,21:06:30,+0700,1512701936738267137,askaraalfahri1,Titisan Aldebaran,,Ndin. Jgn ikutan ogeb kyak Surya. Nyembunyiin pnyakit serius. Dan malah gak diobatin yg bner #IkatanCintaEp971,in,[],[],[],0,0,0,['ikatancintaep971'],[],https://twitter.com/AskaraAlfahri1/status/1598317619232342018,False,,0,,,,,,,,[],,,,
1598317614128074752,1598317614128074752,2022-12-01 21:06:29 SE Asia Standard Time,2022-12-01,21:06:29,+0700,1413691102473773057,studyofhyo,ia,,manda mama wkwkwk keceplosan lg tah? apa aku yang salah denger 🙏🏻 #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/studyofhyo/status/1598317614128074752,False,,0,,,,,,,,[],,,,
1598317585577156608,1598317585577156608,2022-12-01 21:06:22 SE Asia Standard Time,2022-12-01,21:06:22,+0700,1350809047411294208,kehangatanal,KehangatanAl,,Ngapain sih ada kandidat lain!😒😒😒 #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/KehangatanAl/status/1598317585577156608,False,,0,,,,,,,,[],,,,
1598317577700528128,1598317577700528128,2022-12-01 21:06:20 SE Asia Standard Time,2022-12-01,21:06:20,+0700,1525548620866797573,aiiinnnnurr,Nurr_aiiinnn,,"Kepikiran terus , Ndin  #IkatanCintaEp971",in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/AiiinnnNurr/status/1598317577700528128,False,,0,,,,,,,,[],,,,
1598317574177316864,1598317574177316864,2022-12-01 21:06:19 SE Asia Standard Time,2022-12-01,21:06:19,+0700,1350990514737311746,dewi_okta96,Dewiokta,,"Jadi BA dulu. Harus. @asmanadia Andin sibuk pemotretan, promo dan lainnya. Baru abis itu Andin Hamil.  Masalah Sarah biar Elsa deh, Elsa daridulu ga pernah ngurusin Ortunya.  Udah eneg sama Sakitnya Sarah 🤮bila perlu ga susah dibahas lagi.  #IkatanCintaEp971",in,"[{'screen_name': 'asmanadia', 'name': 'asmanadia', 'id': '89745465'}]",[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/Dewi_okta96/status/1598317574177316864,False,https://twitter.com/sandalhermesss/status/1598305783267016704,0,,,,,,,,[],,,,
1598317569999802369,1598317569999802369,2022-12-01 21:06:18 SE Asia Standard Time,2022-12-01,21:06:18,+0700,1411838798791548928,babykoala65__,Pipi Bakpao Reyna 🥰,,Pura pura tidur 🤣🤣🤣  #IkatanCintaEp971  https://t.co/d01PjHD6kc,in,[],[],"['https://pbs.twimg.com/media/Fi5dVe9aYAIOUkM.jpg', 'https://pbs.twimg.com/media/Fi5dV_laAAAgPd7.jpg', 'https://pbs.twimg.com/media/Fi5dWZ0aAAIghLY.jpg', 'https://pbs.twimg.com/media/Fi5dWx4aUAAAyKa.jpg']",0,0,1,['ikatancintaep971'],[],https://twitter.com/Babykoala65__/status/1598317569999802369,False,,1,https://pbs.twimg.com/media/Fi5dVe9aYAIOUkM.jpg,,,,,,,[],,,,
1598317567772434432,1598310891136630786,2022-12-01 21:06:18 SE Asia Standard Time,2022-12-01,21:06:18,+0700,1544030046679351296,rini197169761,Rini,,@Acacicucecoo Tenang dua2 tetap jalan 😭😭😭 #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/Rini197169761/status/1598317567772434432,False,,0,,,,,,,,"[{'screen_name': 'Acacicucecoo', 'name': 'Koki cilik', 'id': '1350340419872202761'}]",,,,
1598317553809780741,1598317553809780741,2022-12-01 21:06:14 SE Asia Standard Time,2022-12-01,21:06:14,+0700,1396363831,eni_ermawati25,Enierma,,Tas laptop digondol maling ya ndin 🤣#IkatanCintaEp971,tl,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/eni_ermawati25/status/1598317553809780741,False,,0,,,,,,,,[],,,,
1598317546851241985,1598317546851241985,2022-12-01 21:06:13 SE Asia Standard Time,2022-12-01,21:06:13,+0700,1554141582869540864,ompayon,Ompayon,,Lah baru di sindir Andin td ga pakai anting  Pulang ke rumah dah pakai anting aja 🤣 #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/ompayon/status/1598317546851241985,False,,0,,,,,,,,[],,,,
1598317532288778241,1598317532288778241,2022-12-01 21:06:09 SE Asia Standard Time,2022-12-01,21:06:09,+0700,1526166197209022464,senja_aryamanda,Senja,,"""engga.. sering kan"" ""kamu kenapa sih?"" ""kamu pasti ada maunya""  ndin itu kepala masgan uda berapa ratus kali kamu geleng2in kyk gitu, cmn kamu yang berani loh ndin 🫢  Dulu penghuni mars pernah nyentuh tuh kepala lgsg duuuuuaaarr 💥💥  #IkatanCintaEp971  https://t.co/KbCPqe2HCJ",in,[],[],[],0,0,2,['ikatancintaep971'],[],https://twitter.com/Senja_aryamanda/status/1598317532288778241,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1598317404387672065/pu/img/CeMrtJNtl4oABFhQ.jpg,,,,,,,[],,,,
1598317481831325697,1598317481831325697,2022-12-01 21:05:57 SE Asia Standard Time,2022-12-01,21:05:57,+0700,1569635929886982146,vanillacqkes,Cakes 🍰✨,,Bilang aja ndinn #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/vanillacqkes/status/1598317481831325697,False,,0,,,,,,,,[],,,,
1598317425820418048,1598317425820418048,2022-12-01 21:05:44 SE Asia Standard Time,2022-12-01,21:05:44,+0700,1431571073795956744,senyummajaa,Senyum🌛,,Sukak yg mana kau al wkwkwkwkwkwkwk #IkatanCintaEp971,in,[],[],[],0,0,3,['ikatancintaep971'],[],https://twitter.com/senyummajaa/status/1598317425820418048,False,,0,,,,,,,,[],,,,
1598317416299495425,1598317416299495425,2022-12-01 21:05:42 SE Asia Standard Time,2022-12-01,21:05:42,+0700,1535533633364033536,missmyuniverse,Uni,,Ya kalo Andin hamil pun juga gk akan sampe lahiran apalagi ada wujud bayinya gak sih? Reyna sama Askara gimana? Masa segitu2 aja. Udh paling bener tuh Andin hamil pas tamat #IkatanCintaEp971,in,[],[],[],0,0,2,['ikatancintaep971'],[],https://twitter.com/missmyuniverse/status/1598317416299495425,False,,0,,,,,,,,[],,,,
1598317392073003008,1598317392073003008,2022-12-01 21:05:36 SE Asia Standard Time,2022-12-01,21:05:36,+0700,51027566,_ceritalily,Cerita Lily,,kandidat untuk jadi BA akan dipelajari oleh rendy. lusa ketemu calon BA. #IkatanCintaEp971  https://t.co/kDFD4JEabq,in,[],[],"['https://pbs.twimg.com/media/Fi5c8yEXgAESAZD.png', 'https://pbs.twimg.com/media/Fi5dBnRX0AMiIR6.png', 'https://pbs.twimg.com/media/Fi5dGdUXwAEhyj6.png', 'https://pbs.twimg.com/media/Fi5dK7yX0AQHen7.png']",0,0,3,['ikatancintaep971'],[],https://twitter.com/_ceritalily/status/1598317392073003008,False,,1,https://pbs.twimg.com/media/Fi5c8yEXgAESAZD.png,,,,,,,[],,,,
1598317391473172480,1598317391473172480,2022-12-01 21:05:36 SE Asia Standard Time,2022-12-01,21:05:36,+0700,1587058773784657922,iniiyash,Yash,,"Jadi pak handoko ngomong apa ke al dan al ngomong apa ke andin, hanya penulis yang tau #ikatancintaep971",in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/iniiyash/status/1598317391473172480,False,,0,,,,,,,,[],,,,
1598317372804575233,1598317372804575233,2022-12-01 21:05:31 SE Asia Standard Time,2022-12-01,21:05:31,+0700,1473536502969749506,diah_dee10,Penikmat_senja,,Ini mah nti Ndin yg cemburu SM BA ke dua 🤭 #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/Diah_dee10/status/1598317372804575233,False,,0,,,,,,,,[],,,,
1598317366085050370,1598315676246380545,2022-12-01 21:05:30 SE Asia Standard Time,2022-12-01,21:05:30,+0700,1544030046679351296,rini197169761,Rini,,@Jeiino1 Aku malah mikir sdh waktunya potong rambut nih orang #IkatanCintaEp971,in,[],[],[],0,0,1,['ikatancintaep971'],[],https://twitter.com/Rini197169761/status/1598317366085050370,False,,0,,,,,,,,"[{'screen_name': 'Jeiino1', 'name': 'sofa kantor aldebaran is backkk', 'id': '1347612485692506112'}]",,,,
1598317293465112577,1598317293465112577,2022-12-01 21:05:12 SE Asia Standard Time,2022-12-01,21:05:12,+0700,1292153473379627010,qwertyouipsn,qwertyuiop,,Aldebaran pliss pake ide dari emak lu deh buat nyari BA cadangan 🙏  #IkatanCintaEp971,in,[],[],[],0,0,3,['ikatancintaep971'],[],https://twitter.com/qwertyouipsn/status/1598317293465112577,False,,0,,,,,,,,[],,,,
