id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1597481291045572608,1597366855823683585,2022-11-29 13:43:14 SE Asia Standard Time,2022-11-29,13:43:14,+0700,1525976990762774529,ninzexe4,Ninzexe4,,@Tarzan305__ Up   #TolakRUUOmnibuslaw_Kesehatan,und,[],[],[],0,0,0,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/ninzexe4/status/1597481291045572608,False,,0,,,,,,,,"[{'screen_name': 'Tarzan305__', 'name': 'Resta', 'id': '1518384902583902208'}]",,,,
1597481160065527808,1597379066146889730,2022-11-29 13:42:42 SE Asia Standard Time,2022-11-29,13:42:42,+0700,1554812622952108032,opposite_r19,𝕽 𝖆 𝔃 𝓲 𝓷 19™️,,@Y07d1_40s1H Siip_ ✊ #TolakRUUOmnibuslaw_Kesehatan,in,[],[],[],0,0,0,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/Opposite_R19/status/1597481160065527808,False,,0,,,,,,,,"[{'screen_name': 'Y07d1_40s1H', 'name': '💥⚔️يودي الى روسيه⚔️💥', 'id': '1357346742400786437'}]",,,,
1597480454424530945,1597371813042229248,2022-11-29 13:39:54 SE Asia Standard Time,2022-11-29,13:39:54,+0700,1477997715078324226,__sy4zwana1211,🏴BundArissa🏳,,@akunkeenam212 @MulyadiGunawa20 @sh4d0wbL4ckz Punya kang gun itu😂 Dh kehabisan #TolakRUUOmnibuslaw_Kesehatan,in,[],[],[],0,0,0,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/__Sy4zwana1211/status/1597480454424530945,False,,0,,,,,,,,"[{'screen_name': 'akunkeenam212', 'name': 'Bjodoh', 'id': '1457907849888026624'}, {'screen_name': 'MulyadiGunawa20', 'name': 'Mulyadi Gunawan 77', 'id': '1446665075545165825'}, {'screen_name': 'sh4d0wbL4ckz', 'name': '_NoOne_', 'id': '1426465230230487049'}]",,,,
1597480111619870722,1597379066146889730,2022-11-29 13:38:33 SE Asia Standard Time,2022-11-29,13:38:33,+0700,1554812622952108032,opposite_r19,𝕽 𝖆 𝔃 𝓲 𝓷 19™️,,"@PaGantang2 Weeee mantap lah tuu, paten bang🙏🏻 #TolakRUUOmnibuslaw_Kesehatan",in,[],[],[],0,0,0,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/Opposite_R19/status/1597480111619870722,False,,0,,,,,,,,"[{'screen_name': 'PaGantang2', 'name': 'Pa Gantang2', 'id': '1587304751686828032'}]",,,,
1597479583825428480,1597080146775007233,2022-11-29 13:36:27 SE Asia Standard Time,2022-11-29,13:36:27,+0700,1314092842835308544,zulhamkenzo,Zulhamkenzo,,"@kbenaranHakiki @CNNIndonesia bukan mirip lagi ,sdhati Orang nya !!!   #TolakRUUOmnibuslaw_Kesehatan  #TolakRUUOmnibuslaw_Kesehatan",in,[],[],[],0,0,0,"['tolakruuomnibuslaw_kesehatan', 'tolakruuomnibuslaw_kesehatan']",[],https://twitter.com/zulhamkenzo/status/1597479583825428480,False,,0,,,,,,,,"[{'screen_name': 'kbenaranHakiki', 'name': 'Mind Over Matter', 'id': '133277792'}, {'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]",,,,
1597479357861142530,1597080146775007233,2022-11-29 13:35:33 SE Asia Standard Time,2022-11-29,13:35:33,+0700,1314092842835308544,zulhamkenzo,Zulhamkenzo,,@CNNIndonesia oooo ya !!!!! ada UU nya ga sanksi tersebut???    #TolakRUUOmnibuslaw_Kesehatan  #TolakRUUOmnibuslaw_Kesehatan,in,[],[],[],0,0,1,"['tolakruuomnibuslaw_kesehatan', 'tolakruuomnibuslaw_kesehatan']",[],https://twitter.com/zulhamkenzo/status/1597479357861142530,False,,0,,,,,,,,"[{'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]",,,,
1597479205784391680,1597371813042229248,2022-11-29 13:34:57 SE Asia Standard Time,2022-11-29,13:34:57,+0700,1477997715078324226,__sy4zwana1211,🏴BundArissa🏳,,@akunkeenam212 @MulyadiGunawa20 @sh4d0wbL4ckz Eh #TolakRUUOmnibuslaw_Kesehatan,und,[],[],[],1,1,2,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/__Sy4zwana1211/status/1597479205784391680,False,,0,,,,,,,,"[{'screen_name': 'akunkeenam212', 'name': 'Bjodoh', 'id': '1457907849888026624'}, {'screen_name': 'MulyadiGunawa20', 'name': 'Mulyadi Gunawan 77', 'id': '1446665075545165825'}, {'screen_name': 'sh4d0wbL4ckz', 'name': '_NoOne_', 'id': '1426465230230487049'}]",,,,
1597478466739662849,1597371813042229248,2022-11-29 13:32:00 SE Asia Standard Time,2022-11-29,13:32:00,+0700,1477997715078324226,__sy4zwana1211,🏴BundArissa🏳,,@akunkeenam212 @sh4d0wbL4ckz 😂😂 Pantesan..lumayan buat beli kuota ketengan #TolakRUUOmnibuslaw_Kesehatan,in,[],[],[],0,0,1,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/__Sy4zwana1211/status/1597478466739662849,False,,0,,,,,,,,"[{'screen_name': 'akunkeenam212', 'name': 'Bjodoh', 'id': '1457907849888026624'}, {'screen_name': 'sh4d0wbL4ckz', 'name': '_NoOne_', 'id': '1426465230230487049'}]",,,,
1597478110462902272,1597371813042229248,2022-11-29 13:30:35 SE Asia Standard Time,2022-11-29,13:30:35,+0700,1477997715078324226,__sy4zwana1211,🏴BundArissa🏳,,@akunkeenam212 @MulyadiGunawa20 @sh4d0wbL4ckz Ih #TolakRUUOmnibuslaw_Kesehatan,und,[],[],[],1,1,2,['tolakruuomnibuslaw_kesehatan'],[],https://twitter.com/__Sy4zwana1211/status/1597478110462902272,False,,0,,,,,,,,"[{'screen_name': 'akunkeenam212', 'name': 'Bjodoh', 'id': '1457907849888026624'}, {'screen_name': 'MulyadiGunawa20', 'name': 'Mulyadi Gunawan 77', 'id': '1446665075545165825'}, {'screen_name': 'sh4d0wbL4ckz', 'name': '_NoOne_', 'id': '1426465230230487049'}]",,,,
1597477530402816000,1597371813042229248,2022-11-29 13:28:17 SE Asia Standard Time,2022-11-29,13:28:17,+0700,1587304751686828032,pagantang2,Pa Gantang2,,@akunkeenam212 Alamak mantapnyooo!😳😳😳 #TolakRUUOmnibuslaw_Kesehatan  #TolakRUUOmnibuslaw_Kesehatan,in,[],[],[],1,1,1,"['tolakruuomnibuslaw_kesehatan', 'tolakruuomnibuslaw_kesehatan']",[],https://twitter.com/PaGantang2/status/1597477530402816000,False,,0,,,,,,,,"[{'screen_name': 'akunkeenam212', 'name': 'Bjodoh', 'id': '1457907849888026624'}]",,,,
