id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1598317682050629632,1598317677189431296,2022-12-01 21:06:45 SE Asia Standard Time,2022-12-01,21:06:45,+0700,1422100303013236742,gerindrajatim_,Partai Gerindra Jawa Timur,,"""Pasca pertemuan kemarin di Asrama Mahasiswa Nusantara (AMN), kami semakin yakin bahwa restu dan dukungan Pak Jokowi akan diberi ke Pak Prabowo,"" kata Anwar Sadad. #Prabowo",in,[],[],[],1,0,0,['prabowo'],[],https://twitter.com/gerindrajatim_/status/1598317682050629632,False,,0,,,,,,,,[],,,,
1598317436746756097,1598316273959833606,2022-12-01 21:05:46 SE Asia Standard Time,2022-12-01,21:05:46,+0700,417063822,suhairi4hmad,Suhai(ri) Ahmad | #UsutTuntasKanjuruhan,,"SDM Jogja itu bagus-bagus, cuma memang gak bisa dihargai layak di tanah yang membentuk mereka. Tak heran, keluar Jogja menjadi sebuah pilihan realistis. Bukan cuma para mahasiswa yang terbentuk di Jogja, melainkan yang lahir di Jogja pun bakal mikir demikian.",in,[],[],[],1,0,0,[],[],https://twitter.com/suhairi4hmad/status/1598317436746756097,False,,0,,,,,,,,[],,,,
1598317384527646722,1598317384527646722,2022-12-01 21:05:34 SE Asia Standard Time,2022-12-01,21:05:34,+0700,633533346,handokowm,Handoko Wisnu Murti,,"Dosen yang saya asisteni pun begitu. Seringkali ketika mahasiswa sedang presentasi dan ada metode yang beliau baru tahu, beliau pun mengakuinya dan jadi penasaran dengan metode tersebut. Terlihat juga kalo dia belajar dari mahasiswanya juga.",in,[],[],[],1,0,0,[],[],https://twitter.com/handokowm/status/1598317384527646722,False,https://twitter.com/eLAmaravati/status/1597768207104110592,0,,,,,,,,[],,,,
1598317361278451712,1598215699419529216,2022-12-01 21:05:28 SE Asia Standard Time,2022-12-01,21:05:28,+0700,934548102,asephutan,sep,,"@AREAJULID Emang mudah kalo bicara, tapi nyatanya ngga sedikit mahasiswa yang mengalami banyak masalah entah dari dalam diri mereka maupun dari eksternal",in,[],[],[],0,0,0,[],[],https://twitter.com/Asephutan/status/1598317361278451712,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1598317346761883652,1598317279988662274,2022-12-01 21:05:25 SE Asia Standard Time,2022-12-01,21:05:25,+0700,1247110849,himafifmipaunri,HIMAFI FMIPA UNRI,,"Salam damai sejahtera untuk kita semua  ✊🏻Hidup Mahasiswa! ✊🏻Hidup Rakyat Indonesia! 🎓Salam Fisikawan Masa Depan 👋🏻  ""Mading Edisi Bulan November""  Haii Fisikawan Masa Depan Universitas Riau 👋🏻",in,[],[],[],1,0,0,[],[],https://twitter.com/himafifmipaunri/status/1598317346761883652,False,,0,,,,,,,,[],,,,
1598317280500277257,1598317280500277257,2022-12-01 21:05:09 SE Asia Standard Time,2022-12-01,21:05:09,+0700,1162738425423777792,bbydiy,Audisaurus🦕,,Types I wouldn’t date again: - mahasiswa teknik yang masih kuliah -mas-mas yang hubungan terakhirnya pacaran tp gagal nikah.,in,[],[],[],0,0,0,[],[],https://twitter.com/bbydiy/status/1598317280500277257,False,https://twitter.com/oyasumipopon/status/1598192369475600384,0,,,,,,,,[],,,,
1598317142851850240,1598317142851850240,2022-12-01 21:04:36 SE Asia Standard Time,2022-12-01,21:04:36,+0700,1553277888874840064,autumnones,wren elle,,"jadi mahasiswa berprestasi, aktif, dan social butterfly, the most important is down to earth and still kind",en,[],[],[],0,0,0,[],[],https://twitter.com/autumnones/status/1598317142851850240,False,https://twitter.com/collegemenfess/status/1598275160163110914,0,,,,,,,,[],,,,
1598317137927770113,1598317017509269505,2022-12-01 21:04:35 SE Asia Standard Time,2022-12-01,21:04:35,+0700,809110889752195072,wn3udld2n0r13,🖤,,"@UGM_FESS Kakak-kakak mahasiswa, bantuin retweet twit ku yang teratas yaa😭",in,[],[],[],0,0,0,[],[],https://twitter.com/wn3udld2n0r13/status/1598317137927770113,False,,0,,,,,,,,"[{'screen_name': 'UGM_FESS', 'name': 'UGM_FESS', 'id': '1277749122296983552'}]",,,,
1598317017509269505,1598317017509269505,2022-12-01 21:04:06 SE Asia Standard Time,2022-12-01,21:04:06,+0700,1277749122296983552,ugm_fess,UGM_FESS,,ugm_fess mahasiswa tua yg lagi skripsian ini juga butuh lee heeseung di hidupnya,in,[],[],[],3,1,3,[],[],https://twitter.com/UGM_FESS/status/1598317017509269505,False,,0,,,,,,,,[],,,,
1598317001600290822,1598317001600290822,2022-12-01 21:04:03 SE Asia Standard Time,2022-12-01,21:04:03,+0700,352365206,alterrrego_,yha girl.,,Orasi mahasiswa. We love BEM wonwoo.  https://t.co/qP7hgi68H5,in,[],[],[],0,0,1,[],[],https://twitter.com/alterrrego_/status/1598317001600290822,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1598307328503484417/pu/img/2fWtd6VP9dVFDYbZ.jpg,,,,,,,[],,,,
